Character,Count,Mapped,Raw,First Appearance
\uf066,31,I,,TestBed/b2120_Stichera.pdf
\uf02a,27,No,,TestBed/b2450_Aposticha.pdf
\uf038,25,I,,TestBed/b2410_Verses.pdf
\uf026,13,Yes,,TestBed/b2650_Aposticha.pdf
\uf069,11,No,,TestBed/b2450_Aposticha.pdf
\uf0a9,7,No,,TestBed/b3880_Lauds.pdf
\uf0e4,3,No,,TestBed/b3965_Pente.pdf
\uf052,2,Yes,,TestBed/b2993_Theotoke.pdf
\uf025,2,Yes,,TestBed/b3370_Verses.pdf
\ufb02,2,No,ﬂ,TestBed/b3945_Waters.pdf
\uf028,2,No,,TestBed/b3988_Polla.pdf
